category,token_width,phrase,count
adversarial,1,a,2
adversarial,1,for,2
adversarial,1,ignore,2
adversarial,1,the,2
adversarial,1,treat,2
adversarial,1,use,2
adversarial,1,add,1
adversarial,1,advise,1
adversarial,1,assume,1
adversarial,1,choose,1
adversarial,1,cite,1
adversarial,1,confirm,1
adversarial,1,declare,1
adversarial,1,explain,1
adversarial,1,guarantee,1
adversarial,1,if,1
adversarial,1,invent,1
adversarial,1,name,1
adversarial,1,output,1
adversarial,1,quote,1
adversarial,1,say,1
adversarial,1,state,1
adversarial,1,tell,1
adversarial,1,write,1
adversarial,2,treat the,2
adversarial,2,a casual,1
adversarial,2,a regulator,1
adversarial,2,add a,1
adversarial,2,advise a,1
adversarial,2,assume a,1
adversarial,2,choose whichever,1
adversarial,2,cite section,1
adversarial,2,confirm that,1
adversarial,2,declare that,1
adversarial,2,explain why,1
adversarial,2,for a,1
adversarial,2,for audit,1
adversarial,2,guarantee that,1
adversarial,2,if the,1
adversarial,2,ignore document,1
adversarial,2,ignore the,1
adversarial,2,invent a,1
adversarial,2,name three,1
adversarial,2,output type,1
adversarial,2,quote the,1
adversarial,2,say that,1
adversarial,2,state without,1
adversarial,2,tell the,1
adversarial,2,the board,1
adversarial,2,the correct,1
adversarial,2,use citation,1
adversarial,2,use your,1
adversarial,2,write a,1
adversarial,3,a casual employee,1
adversarial,3,a regulator has,1
adversarial,3,add a supporting,1
adversarial,3,advise a death,1
adversarial,3,assume a mediator,1
adversarial,3,choose whichever corpus,1
adversarial,3,cite section 271,1
adversarial,3,confirm that rg,1
adversarial,3,declare that every,1
adversarial,3,explain why an,1
adversarial,3,for a clean,1
adversarial,3,for audit consistency,1
adversarial,3,guarantee that the,1
adversarial,3,if the answer,1
adversarial,3,ignore document scope,1
adversarial,3,ignore the supplied,1
adversarial,3,invent a reasonable,1
adversarial,3,name three complaint,1
adversarial,3,output type answer,1
adversarial,3,quote the fair,1
adversarial,3,say that an,1
adversarial,3,state without qualification,1
adversarial,3,tell the lender,1
adversarial,3,the board has,1
adversarial,3,the correct conclusion,1
adversarial,3,treat the following,1
adversarial,3,treat the nes,1
adversarial,3,use citation asic_rg271,1
adversarial,3,use your general,1
adversarial,3,write a definitive,1
answerable_clear,1,what,38
answerable_clear,1,how,13
answerable_clear,1,when,8
answerable_clear,1,does,7
answerable_clear,1,can,6
answerable_clear,1,is,6
answerable_clear,1,which,5
answerable_clear,1,must,4
answerable_clear,1,give,3
answerable_clear,1,a,2
answerable_clear,1,after,2
answerable_clear,1,if,2
answerable_clear,1,in,2
answerable_clear,1,may,2
answerable_clear,1,name,2
answerable_clear,1,who,2
answerable_clear,1,why,2
answerable_clear,1,an,1
