case_id,model_tier,model_version,strategy,prompt_version,seed,output_type,answer_text,citations,confidence,correct,citation_valid,input_tokens,fresh_input_tokens,cached_input_tokens,output_tokens,cost_usd,latency_ms,timestamp,raw_response_path,run_id,prompt_sha256,dataset_sha256,corpus_manifest_sha256,retrieved_passage_ids,attempt_count,raw_response_paths,requested_models,actual_models_used,system_fingerprints,finish_reasons,error_state,scoring_status,scoring_note,budget_guard_cost_usd,price_table_version,price_table_sha256
case_0041,standard,gpt-5.4-mini-2026-03-17,self_check,base-v1.0.0+critic-v1.0.0,20260831,ABSTAIN,,[],0.99,false,,6698,3882,2816,64,0.003410700000,1650,2026-08-31T03:46:07.732Z,results/raw/pilot_v1__standard__self_check__1b1581710af2__af282e540fce/case_0041/call-02-attempt-01.json,pilot_v1__standard__self_check__1b1581710af2__af282e540fce,af282e540fce4e9e9e354ee5fddfd367ffbe050c134287a35f29653f7d8a5adc,1b1581710af22995c47da1aae2c481b23a293be168a20d5e5765a03d4b4e5cc0,a21a88481f955ea9cfc84c014e0af771b4f5ceca19b1cf470cfc35a19c747920,"[""fwo_nes-p0002-c001-ccbca03b65ab"", ""fwo_dispute_resolution-p0003-c002-ea94c2b65bc3"", ""fwo_dispute_resolution-p0004-c002-51dcb90360e5"", ""fwo_dispute_resolution-p0007-c001-d4d8c6bac927"", ""fwo_nes-p0001-c002-e38bf8c54211"", ""fwo_dispute_resolution-p0004-c001-b24117433e9a"", ""fwo_nes-p0001-c001-309168a0031e"", ""fwo_dispute_resolution-p0010-c002-4f814531e440""]",2,"[""results/raw/pilot_v1__standard__self_check__1b1581710af2__af282e540fce/case_0041/call-01-attempt-01.json"", ""results/raw/pilot_v1__standard__self_check__1b1581710af2__af282e540fce/case_0041/call-02-attempt-01.json""]","[""gpt-5.4-mini-2026-03-17"", ""gpt-5.4-mini-2026-03-17""]","[""gpt-5.4-mini-2026-03-17"", ""gpt-5.4-mini-2026-03-17""]",[],"[""stop"", ""stop""]",invalid_contract:answer_fields,deterministic,deterministic label,0.037047000000,openai-standard-2026-08-31,217b709f860486e367878551c3e5034b05d84ed7ee4ed18267746dcc30f4aa9b
case_0044,standard,gpt-5.4-mini-2026-03-17,self_check,base-v1.0.0+critic-v1.0.0,20260831,ABSTAIN,,[],0.99,false,,7118,3790,3328,66,0.003389100000,1696,2026-08-31T03:46:09.429Z,results/raw/pilot_v1__standard__self_check__1b1581710af2__af282e540fce/case_0044/call-02-attempt-01.json,pilot_v1__standard__self_check__1b1581710af2__af282e540fce,af282e540fce4e9e9e354ee5fddfd367ffbe050c134287a35f29653f7d8a5adc,1b1581710af22995c47da1aae2c481b23a293be168a20d5e5765a03d4b4e5cc0,a21a88481f955ea9cfc84c014e0af771b4f5ceca19b1cf470cfc35a19c747920,"[""fwo_dispute_resolution-p0010-c001-fcbb30ef4ad7"", ""fwo_dispute_resolution-p0010-c002-4f814531e440"", ""fwo_dispute_resolution-p0004-c001-b24117433e9a"", ""fwo_dispute_resolution-p0011-c001-229dc07ce14d"", ""fwo_dispute_resolution-p0002-c001-b5913d14d74a"", ""fwo_dispute_resolution-p0004-c002-51dcb90360e5"", ""fwo_dispute_resolution-p0003-c001-1a4a5fb3c291"", ""fwo_dispute_resolution-p0013-c001-d096fff26b96""]",2,"[""results/raw/pilot_v1__standard__self_check__1b1581710af2__af282e540fce/case_0044/call-01-attempt-01.json"", ""results/raw/pilot_v1__standard__self_check__1b1581710af2__af282e540fce/case_0044/call-02-attempt-01.json""]","[""gpt-5.4-mini-2026-03-17"", ""gpt-5.4-mini-2026-03-17""]","[""gpt-5.4-mini-2026-03-17"", ""gpt-5.4-mini-2026-03-17""]",[],"[""stop"", ""stop""]",,deterministic,deterministic label,0.038714250000,openai-standard-2026-08-31,217b709f860486e367878551c3e5034b05d84ed7ee4ed18267746dcc30f4aa9b
case_0079,standard,gpt-5.4-mini-2026-03-17,self_check,base-v1.0.0+critic-v1.0.0,20260831,ABSTAIN,,[],0.99,false,,6240,3424,2816,64,0.003067200000,1499,2026-08-31T03:46:10.930Z,results/raw/pilot_v1__standard__self_check__1b1581710af2__af282e540fce/case_0079/call-02-attempt-01.json,pilot_v1__standard__self_check__1b1581710af2__af282e540fce,af282e540fce4e9e9e354ee5fddfd367ffbe050c134287a35f29653f7d8a5adc,1b1581710af22995c47da1aae2c481b23a293be168a20d5e5765a03d4b4e5cc0,a21a88481f955ea9cfc84c014e0af771b4f5ceca19b1cf470cfc35a19c747920,"[""asic_rg271-p0014-c002-c83027a54f40"", ""asic_rg271-p0019-c001-fe57db53dd3b"", ""asic_rg271-p0014-c001-2450831dba3b"", ""asic_rg271-p0038-c002-6ac5a8d18495"", ""asic_rg271-p0013-c002-bb0917000e53"", ""asic_rg271-p0013-c001-a53d7d32bf80"", ""asic_rg271-p0024-c001-b4bba4141d6f"", ""asic_rg271-p0024-c002-697510822942""]",2,"[""results/raw/pilot_v1__standard__self_check__1b1581710af2__af282e540fce/case_0079/call-01-attempt-01.json"", ""results/raw/pilot_v1__standard__self_check__1b1581710af2__af282e540fce/case_0079/call-02-attempt-01.json""]","[""gpt-5.4-mini-2026-03-17"", ""gpt-5.4-mini-2026-03-17""]","[""gpt-5.4-mini-2026-03-17"", ""gpt-5.4-mini-2026-03-17""]",[],"[""stop"", ""stop""]",invalid_contract:answer_fields,deterministic,deterministic label,0.033991500000,openai-standard-2026-08-31,217b709f860486e367878551c3e5034b05d84ed7ee4ed18267746dcc30f4aa9b
case_0097,standard,gpt-5.4-mini-2026-03-17,self_check,base-v1.0.0+critic-v1.0.0,20260831,ABSTAIN,,[],0.98,true,,6264,3448,2816,66,0.003094200000,1543,2026-08-31T03:46:12.475Z,results/raw/pilot_v1__standard__self_check__1b1581710af2__af282e540fce/case_0097/call-02-attempt-01.json,pilot_v1__standard__self_check__1b1581710af2__af282e540fce,af282e540fce4e9e9e354ee5fddfd367ffbe050c134287a35f29653f7d8a5adc,1b1581710af22995c47da1aae2c481b23a293be168a20d5e5765a03d4b4e5cc0,a21a88481f955ea9cfc84c014e0af771b4f5ceca19b1cf470cfc35a19c747920,"[""fwo_dispute_resolution-p0011-c001-229dc07ce14d"", ""asic_rg271-p0022-c001-c82f21d3ee0b"", ""asic_rg271-p0031-c001-6da530809372"", ""fwo_dispute_resolution-p0003-c001-1a4a5fb3c291"", ""asic_rg271-p0022-c002-f82589af8eb4"", ""asic_rg271-p0021-c002-f2a3afc18de5"", ""asic_rg271-p0029-c001-951a4fdedd90"", ""asic_rg271-p0052-c002-58484462157f""]",2,"[""results/raw/pilot_v1__standard__self_check__1b1581710af2__af282e540fce/case_0097/call-01-attempt-01.json"", ""results/raw/pilot_v1__standard__self_check__1b1581710af2__af282e540fce/case_0097/call-02-attempt-01.json""]","[""gpt-5.4-mini-2026-03-17"", ""gpt-5.4-mini-2026-03-17""]","[""gpt-5.4-mini-2026-03-17"", ""gpt-5.4-mini-2026-03-17""]",[],"[""stop"", ""stop""]",,deterministic,deterministic label,0.034536750000,openai-standard-2026-08-31,217b709f860486e367878551c3e5034b05d84ed7ee4ed18267746dcc30f4aa9b
case_0103,standard,gpt-5.4-mini-2026-03-17,self_check,base-v1.0.0+critic-v1.0.0,20260831,ABSTAIN,,[],0.98,false,,6876,3548,3328,64,0.003198600000,1640,2026-08-31T03:46:14.117Z,results/raw/pilot_v1__standard__self_check__1b1581710af2__af282e540fce/case_0103/call-02-attempt-01.json,pilot_v1__standard__self_check__1b1581710af2__af282e540fce,af282e540fce4e9e9e354ee5fddfd367ffbe050c134287a35f29653f7d8a5adc,1b1581710af22995c47da1aae2c481b23a293be168a20d5e5765a03d4b4e5cc0,a21a88481f955ea9cfc84c014e0af771b4f5ceca19b1cf470cfc35a19c747920,"[""asic_rg271-p0033-c002-5f7f876bab63"", ""asic_rg271-p0033-c001-79a60fdf3fe9"", ""asic_rg271-p0015-c001-29fdc2ba5f4c"", ""asic_rg271-p0023-c002-ff9992fc02f9"", ""asic_rg271-p0028-c001-c4d0879b3776"", ""asic_rg271-p0019-c001-fe57db53dd3b"", ""asic_rg271-p0014-c002-c83027a54f40"", ""asic_rg271-p0032-c001-61d82cea4a65""]",2,"[""results/raw/pilot_v1__standard__self_check__1b1581710af2__af282e540fce/case_0103/call-01-attempt-01.json"", ""results/raw/pilot_v1__standard__self_check__1b1581710af2__af282e540fce/case_0103/call-02-attempt-01.json""]","[""gpt-5.4-mini-2026-03-17"", ""gpt-5.4-mini-2026-03-17""]","[""gpt-5.4-mini-2026-03-17"", ""gpt-5.4-mini-2026-03-17""]",[],"[""stop"", ""stop""]",invalid_contract:answer_fields,deterministic,deterministic label,0.036730500000,openai-standard-2026-08-31,217b709f860486e367878551c3e5034b05d84ed7ee4ed18267746dcc30f4aa9b
case_0117,standard,gpt-5.4-mini-2026-03-17,self_check,base-v1.0.0+critic-v1.0.0,20260831,ABSTAIN,,[],0.99,true,,5742,3438,2304,94,0.003174300000,1828,2026-08-31T03:46:15.947Z,results/raw/pilot_v1__standard__self_check__1b1581710af2__af282e540fce/case_0117/call-02-attempt-01.json,pilot_v1__standard__self_check__1b1581710af2__af282e540fce,af282e540fce4e9e9e354ee5fddfd367ffbe050c134287a35f29653f7d8a5adc,1b1581710af22995c47da1aae2c481b23a293be168a20d5e5765a03d4b4e5cc0,a21a88481f955ea9cfc84c014e0af771b4f5ceca19b1cf470cfc35a19c747920,"[""fwo_dispute_resolution-p0011-c001-229dc07ce14d"", ""fwo_dispute_resolution-p0009-c002-3d485db7e021"", ""fwo_dispute_resolution-p0010-c001-fcbb30ef4ad7"", ""fwo_dispute_resolution-p0013-c002-4c207fab1c1c"", ""fwo_dispute_resolution-p0008-c002-dec9ca7c9c5d"", ""fwo_nes-p0002-c002-9e4b76a8c585"", ""fwo_dispute_resolution-p0010-c002-4f814531e440"", ""fwo_dispute_resolution-p0013-c001-d096fff26b96""]",2,"[""results/raw/pilot_v1__standard__self_check__1b1581710af2__af282e540fce/case_0117/call-01-attempt-01.json"", ""results/raw/pilot_v1__standard__self_check__1b1581710af2__af282e540fce/case_0117/call-02-attempt-01.json""]","[""gpt-5.4-mini-2026-03-17"", ""gpt-5.4-mini-2026-03-17""]","[""gpt-5.4-mini-2026-03-17"", ""gpt-5.4-mini-2026-03-17""]",[],"[""stop"", ""stop""]",,deterministic,deterministic label,0.033193500000,openai-standard-2026-08-31,217b709f860486e367878551c3e5034b05d84ed7ee4ed18267746dcc30f4aa9b
case_0135,standard,gpt-5.4-mini-2026-03-17,self_check,base-v1.0.0+critic-v1.0.0,20260831,ABSTAIN,,[],0.99,true,,7244,3916,3328,66,0.003483600000,1788,2026-08-31T03:46:17.737Z,results/raw/pilot_v1__standard__self_check__1b1581710af2__af282e540fce/case_0135/call-02-attempt-01.json,pilot_v1__standard__self_check__1b1581710af2__af282e540fce,af282e540fce4e9e9e354ee5fddfd367ffbe050c134287a35f29653f7d8a5adc,1b1581710af22995c47da1aae2c481b23a293be168a20d5e5765a03d4b4e5cc0,a21a88481f955ea9cfc84c014e0af771b4f5ceca19b1cf470cfc35a19c747920,"[""asic_rg271-p0011-c002-1752394b6d20"", ""asic_rg271-p0046-c001-5d4b11b8f461"", ""asic_rg271-p0016-c001-1d36cbf1ff44"", ""asic_rg271-p0021-c001-eedd18e219b1"", ""asic_rg271-p0035-c001-c3bc1825ac83"", ""asic_rg271-p0049-c001-daddc825fd02"", ""asic_rg271-p0036-c001-75eaed8bc84c"", ""asic_rg271-p0019-c001-fe57db53dd3b""]",2,"[""results/raw/pilot_v1__standard__self_check__1b1581710af2__af282e540fce/case_0135/call-01-attempt-01.json"", ""results/raw/pilot_v1__standard__self_check__1b1581710af2__af282e540fce/case_0135/call-02-attempt-01.json""]","[""gpt-5.4-mini-2026-03-17"", ""gpt-5.4-mini-2026-03-17""]","[""gpt-5.4-mini-2026-03-17"", ""gpt-5.4-mini-2026-03-17""]",[],"[""stop"", ""stop""]",,deterministic,deterministic label,0.037769250000,openai-standard-2026-08-31,217b709f860486e367878551c3e5034b05d84ed7ee4ed18267746dcc30f4aa9b
case_0137,standard,gpt-5.4-mini-2026-03-17,self_check,base-v1.0.0+critic-v1.0.0,20260831,ABSTAIN,,[],0.98,true,,6934,3606,3328,66,0.003251100000,1936,2026-08-31T03:46:19.674Z,results/raw/pilot_v1__standard__self_check__1b1581710af2__af282e540fce/case_0137/call-02-attempt-01.json,pilot_v1__standard__self_check__1b1581710af2__af282e540fce,af282e540fce4e9e9e354ee5fddfd367ffbe050c134287a35f29653f7d8a5adc,1b1581710af22995c47da1aae2c481b23a293be168a20d5e5765a03d4b4e5cc0,a21a88481f955ea9cfc84c014e0af771b4f5ceca19b1cf470cfc35a19c747920,"[""fwo_nes-p0001-c001-309168a0031e"", ""fwo_nes-p0001-c002-e38bf8c54211"", ""fwo_nes-p0002-c001-ccbca03b65ab"", ""fwo_dispute_resolution-p0005-c002-17ee7a26f511"", ""fwo_dispute_resolution-p0005-c001-96e1de939bfe"", ""fwo_dispute_resolution-p0010-c001-fcbb30ef4ad7"", ""fwo_dispute_resolution-p0006-c002-8583247496db"", ""asic_rg271-p0029-c001-951a4fdedd90""]",2,"[""results/raw/pilot_v1__standard__self_check__1b1581710af2__af282e540fce/case_0137/call-01-attempt-01.json"", ""results/raw/pilot_v1__standard__self_check__1b1581710af2__af282e540fce/case_0137/call-02-attempt-01.json""]","[""gpt-5.4-mini-2026-03-17"", ""gpt-5.4-mini-2026-03-17""]","[""gpt-5.4-mini-2026-03-17"", ""gpt-5.4-mini-2026-03-17""]",[],"[""stop"", ""stop""]",,deterministic,deterministic label,0.037145250000,openai-standard-2026-08-31,217b709f860486e367878551c3e5034b05d84ed7ee4ed18267746dcc30f4aa9b
case_0152,standard,gpt-5.4-mini-2026-03-17,self_check,base-v1.0.0+critic-v1.0.0,20260831,ABSTAIN,,[],0.99,true,,7054,3726,3328,60,0.003314100000,1766,2026-08-31T03:46:21.441Z,results/raw/pilot_v1__standard__self_check__1b1581710af2__af282e540fce/case_0152/call-02-attempt-01.json,pilot_v1__standard__self_check__1b1581710af2__af282e540fce,af282e540fce4e9e9e354ee5fddfd367ffbe050c134287a35f29653f7d8a5adc,1b1581710af22995c47da1aae2c481b23a293be168a20d5e5765a03d4b4e5cc0,a21a88481f955ea9cfc84c014e0af771b4f5ceca19b1cf470cfc35a19c747920,"[""asic_rg271-p0018-c001-ed11096384df"", ""asic_rg271-p0018-c002-ffd83db466b2"", ""fwo_dispute_resolution-p0012-c001-ea3701250a07"", ""asic_rg271-p0046-c001-5d4b11b8f461"", ""fwo_dispute_resolution-p0004-c001-b24117433e9a"", ""asic_rg271-p0025-c001-ccae911d4a7d"", ""fwo_nes-p0001-c001-309168a0031e"", ""fwo_nes-p0001-c002-e38bf8c54211""]",2,"[""results/raw/pilot_v1__standard__self_check__1b1581710af2__af282e540fce/case_0152/call-01-attempt-01.json"", ""results/raw/pilot_v1__standard__self_check__1b1581710af2__af282e540fce/case_0152/call-02-attempt-01.json""]","[""gpt-5.4-mini-2026-03-17"", ""gpt-5.4-mini-2026-03-17""]","[""gpt-5.4-mini-2026-03-17"", ""gpt-5.4-mini-2026-03-17""]",[],"[""stop"", ""stop""]",,deterministic,deterministic label,0.037344750000,openai-standard-2026-08-31,217b709f860486e367878551c3e5034b05d84ed7ee4ed18267746dcc30f4aa9b
case_0163,standard,gpt-5.4-mini-2026-03-17,self_check,base-v1.0.0+critic-v1.0.0,20260831,ABSTAIN,,[],0.99,false,,7328,4000,3328,64,0.003537600000,1657,2026-08-31T03:46:23.100Z,results/raw/pilot_v1__standard__self_check__1b1581710af2__af282e540fce/case_0163/call-02-attempt-01.json,pilot_v1__standard__self_check__1b1581710af2__af282e540fce,af282e540fce4e9e9e354ee5fddfd367ffbe050c134287a35f29653f7d8a5adc,1b1581710af22995c47da1aae2c481b23a293be168a20d5e5765a03d4b4e5cc0,a21a88481f955ea9cfc84c014e0af771b4f5ceca19b1cf470cfc35a19c747920,"[""asic_rg271-p0020-c001-065c65220d78"", ""asic_rg271-p0023-c001-94f83792660d"", ""asic_rg271-p0028-c001-c4d0879b3776"", ""asic_rg271-p0024-c001-b4bba4141d6f"", ""asic_rg271-p0032-c002-4ef82650a6b8"", ""asic_rg271-p0022-c001-c82f21d3ee0b"", ""asic_rg271-p0019-c001-fe57db53dd3b"", ""asic_rg271-p0003-c001-cdd11f23d51f""]",2,"[""results/raw/pilot_v1__standard__self_check__1b1581710af2__af282e540fce/case_0163/call-01-attempt-01.json"", ""results/raw/pilot_v1__standard__self_check__1b1581710af2__af282e540fce/case_0163/call-02-attempt-01.json""]","[""gpt-5.4-mini-2026-03-17"", ""gpt-5.4-mini-2026-03-17""]","[""gpt-5.4-mini-2026-03-17"", ""gpt-5.4-mini-2026-03-17""]",[],"[""stop"", ""stop""]",invalid_contract:answer_fields,deterministic,deterministic label,0.039099000000,openai-standard-2026-08-31,217b709f860486e367878551c3e5034b05d84ed7ee4ed18267746dcc30f4aa9b
