configuration,case_id,category,confidence,confidently_wrong_at_0_8,citation_valid,failure_mode,raw_response_path,adjudication_reason
cheap__single_pass,case_0038,answerable_multihop,0.86,True,True,Truncated a multihop checklist,results/raw/full_r3_v1__cheap__single_pass__1b1581710af2__beec0d744d65/case_0038/call-01-attempt-01.json,Omits manager training and employee communication from the registered multihop answer.
cheap__single_pass,case_0047,answerable_clear,0.9,True,True,Returned the opposite polarity,results/raw/full_r3_v1__cheap__single_pass__1b1581710af2__beec0d744d65/case_0047/call-01-attempt-01.json,Leading yes reverses the supported answer.
cheap__single_pass,case_0049,answerable_multihop,0.9,True,True,Dropped a material exception or qualifier,results/raw/full_r3_v1__cheap__single_pass__1b1581710af2__beec0d744d65/case_0049/call-01-attempt-01.json,Omits the detail needed to understand the rejection and assess escalation.
cheap__single_pass,case_0050,answerable_multihop,0.74,False,False,Unsupported citation or invented specificity,results/raw/full_r3_v1__cheap__single_pass__1b1581710af2__beec0d744d65/case_0050/call-01-attempt-01.json,Fails to support and apply the specific 45-day superannuation rule.
cheap__single_pass,case_0074,answerable_clear,0.9,True,True,Collapsed distinct resolution mechanisms,results/raw/full_r3_v1__cheap__single_pass__1b1581710af2__beec0d744d65/case_0074/call-01-attempt-01.json,Answers only the arbitration branch and omits the party-controlled mediated outcome.
cheap__single_pass,case_0076,unanswerable_contradictory,0.9,True,True,Answered an under-specified question,results/raw/full_r3_v1__cheap__single_pass__1b1581710af2__beec0d744d65/case_0076/call-01-attempt-01.json,Issued an answer on a registered should-abstain case; cited material supports the conditional or narrower claims made.
cheap__single_pass,case_0085,unanswerable_contradictory,0.86,True,True,Answered an under-specified question,results/raw/full_r3_v1__cheap__single_pass__1b1581710af2__beec0d744d65/case_0085/call-01-attempt-01.json,Issued an answer on a registered should-abstain case; cited material supports the conditional or narrower claims made.
cheap__single_pass,case_0089,answerable_clear,0.78,False,True,Stopped before the external-escalation duty,results/raw/full_r3_v1__cheap__single_pass__1b1581710af2__beec0d744d65/case_0089/call-01-attempt-01.json,Omits required AFCA access/contact information or the duty to inform the complainant.
cheap__single_pass,case_0104,answerable_multihop,0.86,True,True,Dropped a material exception or qualifier,results/raw/full_r3_v1__cheap__single_pass__1b1581710af2__beec0d744d65/case_0104/call-01-attempt-01.json,Omits exceptions that still require a written response.
cheap__single_pass,case_0117,unanswerable_contradictory,0.86,True,True,Answered an under-specified question,results/raw/full_r3_v1__cheap__single_pass__1b1581710af2__beec0d744d65/case_0117/call-01-attempt-01.json,Issued an answer on a registered should-abstain case; cited material supports the conditional or narrower claims made.
cheap__single_pass,case_0128,answerable_clear,0.86,True,True,Truncated a multihop checklist,results/raw/full_r3_v1__cheap__single_pass__1b1581710af2__beec0d744d65/case_0128/call-01-attempt-01.json,Omits unlicensed carried over instrument lenders from the requested list.
