case_id,category,parser_error,http_status,finish_reason,requested_model,returned_model,raw_response_path,response_content,content_keys,answer_text_empty,citations_empty,confidence
case_0006,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0006/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.99,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.99
case_0012,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0012/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.98,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.98
case_0016,answerable_multihop,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0016/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.98,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.98
case_0022,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0022/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.98,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.98
case_0024,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0024/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.98,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.98
case_0029,unanswerable_contradictory,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0029/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.98,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.98
case_0034,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0034/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.98,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.98
case_0035,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0035/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.98,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.98
case_0043,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0043/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.99,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.99
case_0047,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0047/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.98,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.98
case_0051,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0051/call-01-attempt-01.json,"{""answer_text"":"""", ""citations"": [], ""confidence"": 0.99, ""output_type"": ""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.99
case_0077,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0077/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.99,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.99
case_0079,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0079/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.98,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.98
case_0080,answerable_multihop,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0080/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.96,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.96
case_0084,answerable_clear,invalid_contract:answer_fields,200,stop,gpt-5.4-mini-2026-03-17,gpt-5.4-mini-2026-03-17,results/raw/full_r3_v1__standard__single_pass__1b1581710af2__beec0d744d65/case_0084/call-01-attempt-01.json,"{""answer_text"":"""",""citations"":[],""confidence"":0.98,""output_type"":""ANSWER""}","answer_text,citations,confidence,output_type",True,True,0.98
