left_case_id,left_category,right_case_id,right_category,token_set_jaccard
case_0022,answerable_clear,case_0219,answerable_clear,0.6666666666666666
case_0087,answerable_clear,case_0107,answerable_clear,0.625
case_0087,answerable_clear,case_0295,answerable_clear,0.625
case_0107,answerable_clear,case_0295,answerable_clear,0.5555555555555556
case_0087,answerable_clear,case_0256,answerable_clear,0.55
case_0274,answerable_clear,case_0300,answerable_clear,0.55
case_0009,answerable_clear,case_0208,unanswerable_missing,0.5333333333333333
case_0017,answerable_clear,case_0093,answerable_clear,0.5
case_0023,answerable_multihop,case_0153,answerable_clear,0.5
case_0256,answerable_clear,case_0290,answerable_clear,0.5
case_0011,answerable_multihop,case_0187,answerable_clear,0.4782608695652174
case_0061,answerable_clear,case_0104,answerable_multihop,0.4642857142857143
case_0017,answerable_clear,case_0219,answerable_clear,0.46153846153846156
case_0093,answerable_clear,case_0219,answerable_clear,0.45454545454545453
case_0016,answerable_multihop,case_0096,answerable_clear,0.45
case_0122,unanswerable_missing,case_0173,answerable_clear,0.45
case_0049,answerable_multihop,case_0163,answerable_multihop,0.4482758620689655
case_0004,answerable_clear,case_0198,answerable_clear,0.4375
case_0079,answerable_clear,case_0109,answerable_clear,0.4375
case_0107,answerable_clear,case_0256,answerable_clear,0.43478260869565216
case_0256,answerable_clear,case_0295,answerable_clear,0.43478260869565216
case_0175,answerable_clear,case_0252,answerable_clear,0.42857142857142855
case_0022,answerable_clear,case_0252,answerable_clear,0.4166666666666667
case_0009,answerable_clear,case_0242,answerable_clear,0.4117647058823529
case_0079,answerable_clear,case_0247,answerable_clear,0.4117647058823529
case_0252,answerable_clear,case_0277,answerable_clear,0.4117647058823529
case_0087,answerable_clear,case_0114,answerable_multihop,0.4090909090909091
case_0093,answerable_clear,case_0140,answerable_clear,0.4
case_0096,answerable_clear,case_0125,unanswerable_missing,0.4
case_0185,answerable_clear,case_0290,answerable_clear,0.4
case_0075,unanswerable_contradictory,case_0104,answerable_multihop,0.39285714285714285
case_0109,answerable_clear,case_0247,answerable_clear,0.3888888888888889
case_0032,answerable_clear,case_0093,answerable_clear,0.38461538461538464
case_0065,adversarial,case_0122,unanswerable_missing,0.38461538461538464
case_0104,answerable_multihop,case_0269,answerable_clear,0.38461538461538464
case_0157,answerable_multihop,case_0256,answerable_clear,0.38461538461538464
case_0248,answerable_clear,case_0284,answerable_multihop,0.38095238095238093
case_0004,answerable_clear,case_0096,answerable_clear,0.375
case_0009,answerable_clear,case_0144,answerable_clear,0.375
case_0066,answerable_multihop,case_0201,answerable_clear,0.375
case_0080,answerable_multihop,case_0201,answerable_clear,0.375
case_0089,answerable_clear,case_0103,answerable_multihop,0.375
case_0096,answerable_clear,case_0259,answerable_multihop,0.3684210526315789
case_0175,answerable_clear,case_0277,answerable_clear,0.3684210526315789
case_0063,answerable_clear,case_0295,answerable_clear,0.36363636363636365
case_0185,answerable_clear,case_0279,answerable_clear,0.36363636363636365
case_0032,answerable_clear,case_0185,answerable_clear,0.35294117647058826
case_0032,answerable_clear,case_0295,answerable_clear,0.35294117647058826
case_0096,answerable_clear,case_0198,answerable_clear,0.35294117647058826
case_0017,answerable_clear,case_0169,answerable_clear,0.35
case_0046,answerable_clear,case_0244,answerable_clear,0.35
case_0140,answerable_clear,case_0277,answerable_clear,0.35
case_0198,answerable_clear,case_0259,answerable_multihop,0.35
case_0027,answerable_clear,case_0068,unanswerable_contradictory,0.34782608695652173
case_0262,unanswerable_contradictory,case_0269,answerable_clear,0.34782608695652173
case_0268,unanswerable_missing,case_0297,unanswerable_missing,0.34782608695652173
case_0001,answerable_clear,case_0092,answerable_clear,0.34615384615384615
case_0027,answerable_clear,case_0103,answerable_multihop,0.34615384615384615
case_0099,answerable_clear,case_0105,adversarial,0.34615384615384615
case_0006,answerable_clear,case_0185,answerable_clear,0.3333333333333333
case_0017,answerable_clear,case_0022,answerable_clear,0.3333333333333333
case_0017,answerable_clear,case_0140,answerable_clear,0.3333333333333333
case_0023,answerable_multihop,case_0274,answerable_clear,0.3333333333333333
case_0025,answerable_clear,case_0114,answerable_multihop,0.3333333333333333
case_0029,unanswerable_contradictory,case_0108,answerable_clear,0.3333333333333333
case_0032,answerable_clear,case_0079,answerable_clear,0.3333333333333333
case_0032,answerable_clear,case_0219,answerable_clear,0.3333333333333333
case_0041,answerable_clear,case_0281,answerable_multihop,0.3333333333333333
case_0070,out_of_scope,case_0271,out_of_scope,0.3333333333333333
case_0079,answerable_clear,case_0093,answerable_clear,0.3333333333333333
case_0089,answerable_clear,case_0240,answerable_clear,0.3333333333333333
case_0093,answerable_clear,case_0277,answerable_clear,0.3333333333333333
case_0109,answerable_clear,case_0279,answerable_clear,0.3333333333333333
case_0111,answerable_clear,case_0295,answerable_clear,0.3333333333333333
case_0144,answerable_clear,case_0242,answerable_clear,0.3333333333333333
case_0145,answerable_multihop,case_0227,answerable_clear,0.3333333333333333
case_0147,answerable_clear,case_0253,answerable_clear,0.3333333333333333
case_0161,answerable_clear,case_0233,answerable_clear,0.3333333333333333
case_0224,answerable_multihop,case_0264,answerable_multihop,0.3235294117647059
case_0132,unanswerable_contradictory,case_0183,answerable_clear,0.3225806451612903
case_0039,unanswerable_missing,case_0110,adversarial,0.32142857142857145
case_0083,unanswerable_contradictory,case_0183,answerable_clear,0.32142857142857145
case_0098,answerable_multihop,case_0277,answerable_clear,0.32142857142857145
case_0065,adversarial,case_0173,answerable_clear,0.32
case_0154,answerable_clear,case_0186,answerable_multihop,0.32
case_0038,answerable_multihop,case_0084,answerable_clear,0.3181818181818182
case_0077,answerable_clear,case_0160,answerable_clear,0.3181818181818182
case_0099,answerable_clear,case_0107,answerable_clear,0.3181818181818182
case_0125,unanswerable_missing,case_0198,answerable_clear,0.3181818181818182
case_0136,unanswerable_missing,case_0268,unanswerable_missing,0.3181818181818182
case_0025,answerable_clear,case_0087,answerable_clear,0.3157894736842105
case_0028,answerable_clear,case_0077,answerable_clear,0.3157894736842105
case_0032,answerable_clear,case_0279,answerable_clear,0.3157894736842105
case_0032,answerable_clear,case_0109,answerable_clear,0.3125
case_0032,answerable_clear,case_0140,answerable_clear,0.3125
case_0066,answerable_multihop,case_0080,answerable_multihop,0.3125
case_0093,answerable_clear,case_0109,answerable_clear,0.3125
case_0034,answerable_clear,case_0158,answerable_multihop,0.3103448275862069
case_0022,answerable_clear,case_0093,answerable_clear,0.3076923076923077
case_0064,answerable_clear,case_0224,answerable_multihop,0.3076923076923077
