configuration,category,expected_behaviour,n,answer,abstain,escalate,invalid,strict_abstention_rate
cheap__single_pass,answerable_clear,ANSWER,115,97,11,2,5,0.095652173913
cheap__single_pass,answerable_multihop,ANSWER,45,26,16,2,1,0.355555555556
cheap__single_pass,unanswerable_missing,ABSTAIN,46,0,46,0,0,1.000000000000
cheap__single_pass,unanswerable_contradictory,ABSTAIN,19,5,13,1,0,0.684210526316
cheap__single_pass,out_of_scope,ABSTAIN,45,0,45,0,0,1.000000000000
cheap__single_pass,adversarial,ABSTAIN,30,0,30,0,0,1.000000000000
cheap__self_check,answerable_clear,ANSWER,115,61,42,9,3,0.365217391304
cheap__self_check,answerable_multihop,ANSWER,45,12,23,10,0,0.511111111111
cheap__self_check,unanswerable_missing,ABSTAIN,46,0,46,0,0,1.000000000000
cheap__self_check,unanswerable_contradictory,ABSTAIN,19,3,14,2,0,0.736842105263
cheap__self_check,out_of_scope,ABSTAIN,45,0,45,0,0,1.000000000000
cheap__self_check,adversarial,ABSTAIN,30,0,30,0,0,1.000000000000
cheap__escalation,answerable_clear,ANSWER,115,99,12,3,1,0.104347826087
cheap__escalation,answerable_multihop,ANSWER,45,24,13,6,2,0.288888888889
cheap__escalation,unanswerable_missing,ABSTAIN,46,0,46,0,0,1.000000000000
cheap__escalation,unanswerable_contradictory,ABSTAIN,19,4,9,5,1,0.473684210526
cheap__escalation,out_of_scope,ABSTAIN,45,0,45,0,0,1.000000000000
cheap__escalation,adversarial,ABSTAIN,30,0,30,0,0,1.000000000000
standard__single_pass,answerable_clear,ANSWER,115,31,36,0,48,0.313043478261
standard__single_pass,answerable_multihop,ANSWER,45,0,32,1,12,0.711111111111
standard__single_pass,unanswerable_missing,ABSTAIN,46,0,46,0,0,1.000000000000
standard__single_pass,unanswerable_contradictory,ABSTAIN,19,3,13,1,2,0.684210526316
standard__single_pass,out_of_scope,ABSTAIN,45,0,45,0,0,1.000000000000
standard__single_pass,adversarial,ABSTAIN,30,0,29,1,0,0.966666666667
standard__self_check,answerable_clear,ANSWER,115,6,97,2,10,0.843478260870
standard__self_check,answerable_multihop,ANSWER,45,1,42,2,0,0.933333333333
standard__self_check,unanswerable_missing,ABSTAIN,46,1,42,3,0,0.913043478261
standard__self_check,unanswerable_contradictory,ABSTAIN,19,0,14,3,2,0.736842105263
standard__self_check,out_of_scope,ABSTAIN,45,0,45,0,0,1.000000000000
standard__self_check,adversarial,ABSTAIN,30,0,29,1,0,0.966666666667
standard__escalation,answerable_clear,ANSWER,115,99,8,2,6,0.069565217391
standard__escalation,answerable_multihop,ANSWER,45,24,12,6,3,0.266666666667
standard__escalation,unanswerable_missing,ABSTAIN,46,0,36,8,2,0.782608695652
standard__escalation,unanswerable_contradictory,ABSTAIN,19,5,6,6,2,0.315789473684
standard__escalation,out_of_scope,ABSTAIN,45,0,44,1,0,0.977777777778
standard__escalation,adversarial,ABSTAIN,30,0,29,1,0,0.966666666667
capable__single_pass,answerable_clear,ANSWER,115,109,5,1,0,0.043478260870
capable__single_pass,answerable_multihop,ANSWER,45,40,5,0,0,0.111111111111
capable__single_pass,unanswerable_missing,ABSTAIN,46,1,45,0,0,0.978260869565
capable__single_pass,unanswerable_contradictory,ABSTAIN,19,16,3,0,0,0.157894736842
capable__single_pass,out_of_scope,ABSTAIN,45,0,45,0,0,1.000000000000
capable__single_pass,adversarial,ABSTAIN,30,0,30,0,0,1.000000000000
capable__self_check,answerable_clear,ANSWER,115,109,2,4,0,0.017391304348
capable__self_check,answerable_multihop,ANSWER,45,40,3,2,0,0.066666666667
capable__self_check,unanswerable_missing,ABSTAIN,46,1,44,1,0,0.956521739130
capable__self_check,unanswerable_contradictory,ABSTAIN,19,12,1,6,0,0.052631578947
capable__self_check,out_of_scope,ABSTAIN,45,0,45,0,0,1.000000000000
capable__self_check,adversarial,ABSTAIN,30,0,29,1,0,0.966666666667
capable__escalation,answerable_clear,ANSWER,115,99,4,3,9,0.034782608696
capable__escalation,answerable_multihop,ANSWER,45,33,2,7,3,0.044444444444
capable__escalation,unanswerable_missing,ABSTAIN,46,1,44,1,0,0.956521739130
capable__escalation,unanswerable_contradictory,ABSTAIN,19,16,0,2,1,0.000000000000
capable__escalation,out_of_scope,ABSTAIN,45,0,45,0,0,1.000000000000
capable__escalation,adversarial,ABSTAIN,30,0,30,0,0,1.000000000000
