case_id,category,gold_count,retrieved_gold_count,all_gold_retrieved,any_gold_retrieved,missing_gold_citations
case_0001,answerable_clear,1,1,True,True,
case_0003,answerable_clear,1,1,True,True,
case_0004,answerable_clear,1,1,True,True,
case_0006,answerable_clear,1,1,True,True,
case_0009,answerable_clear,1,1,True,True,
case_0011,answerable_multihop,3,2,False,True,fwo_dispute_resolution-p0007-c001-d4d8c6bac927
case_0012,answerable_clear,1,1,True,True,
case_0014,answerable_multihop,3,3,True,True,
case_0016,answerable_multihop,2,2,True,True,
case_0017,answerable_clear,1,1,True,True,
case_0021,answerable_clear,1,1,True,True,
case_0022,answerable_clear,1,1,True,True,
case_0023,answerable_multihop,2,2,True,True,
case_0024,answerable_clear,1,1,True,True,
case_0025,answerable_clear,1,1,True,True,
case_0026,answerable_clear,1,1,True,True,
case_0027,answerable_clear,1,1,True,True,
case_0028,answerable_clear,1,1,True,True,
case_0031,answerable_clear,1,1,True,True,
case_0032,answerable_clear,1,0,False,False,asic_rg271-p0015-c001-29fdc2ba5f4c
case_0034,answerable_clear,1,1,True,True,
case_0035,answerable_clear,1,1,True,True,
case_0036,answerable_clear,1,1,True,True,
case_0038,answerable_multihop,3,1,False,True,fwo_dispute_resolution-p0007-c002-c040c04c278e|fwo_dispute_resolution-p0008-c001-d2801a834664
case_0041,answerable_clear,1,1,True,True,
case_0042,answerable_clear,1,1,True,True,
case_0043,answerable_clear,1,1,True,True,
case_0044,answerable_multihop,2,2,True,True,
case_0045,answerable_clear,1,1,True,True,
case_0046,answerable_clear,1,1,True,True,
case_0047,answerable_clear,1,1,True,True,
case_0049,answerable_multihop,2,1,False,True,asic_rg271-p0020-c002-86e3cf74ff52
case_0050,answerable_multihop,2,1,False,True,asic_rg271-p0021-c002-f2a3afc18de5
case_0051,answerable_clear,1,1,True,True,
case_0054,answerable_multihop,2,1,False,True,asic_rg271-p0018-c002-ffd83db466b2
case_0061,answerable_clear,1,1,True,True,
case_0063,answerable_clear,1,1,True,True,
case_0064,answerable_clear,1,1,True,True,
case_0066,answerable_multihop,2,2,True,True,
case_0072,answerable_clear,1,1,True,True,
case_0074,answerable_clear,1,1,True,True,
case_0077,answerable_clear,1,1,True,True,
case_0079,answerable_clear,1,1,True,True,
case_0080,answerable_multihop,2,1,False,True,asic_rg271-p0004-c001-fde204a5871a
case_0084,answerable_clear,1,1,True,True,
case_0087,answerable_clear,1,1,True,True,
case_0088,answerable_clear,1,1,True,True,
case_0089,answerable_clear,1,0,False,False,asic_rg271-p0033-c001-79a60fdf3fe9
case_0090,answerable_clear,1,1,True,True,
case_0091,answerable_clear,1,1,True,True,
case_0092,answerable_clear,1,1,True,True,
case_0093,answerable_clear,1,1,True,True,
case_0095,answerable_clear,1,1,True,True,
case_0096,answerable_clear,1,1,True,True,
case_0098,answerable_multihop,2,2,True,True,
case_0099,answerable_clear,1,1,True,True,
case_0100,answerable_multihop,2,2,True,True,
case_0103,answerable_multihop,2,2,True,True,
case_0104,answerable_multihop,2,2,True,True,
case_0106,answerable_clear,1,1,True,True,
case_0107,answerable_clear,1,1,True,True,
case_0108,answerable_clear,1,1,True,True,
case_0109,answerable_clear,1,1,True,True,
case_0111,answerable_clear,1,1,True,True,
case_0114,answerable_multihop,2,1,False,True,asic_rg271-p0021-c002-f2a3afc18de5
case_0116,answerable_multihop,2,2,True,True,
case_0118,answerable_clear,1,1,True,True,
case_0124,answerable_clear,1,1,True,True,
case_0127,answerable_clear,1,1,True,True,
case_0128,answerable_clear,1,0,False,False,asic_rg271-p0001-c001-27fa42cfe818
case_0129,answerable_clear,1,1,True,True,
case_0138,answerable_multihop,2,1,False,True,fwo_dispute_resolution-p0003-c001-1a4a5fb3c291
case_0139,answerable_clear,1,1,True,True,
case_0140,answerable_clear,1,1,True,True,
case_0142,answerable_clear,1,1,True,True,
case_0143,answerable_clear,1,1,True,True,
case_0144,answerable_clear,1,1,True,True,
case_0145,answerable_multihop,4,1,False,True,asic_rg271-p0039-c002-940fe01a8743|asic_rg271-p0040-c002-1695a249f946|asic_rg271-p0041-c001-240a1feebad6
case_0147,answerable_clear,1,1,True,True,
case_0148,answerable_clear,1,1,True,True,
case_0151,answerable_clear,1,1,True,True,
case_0153,answerable_clear,1,1,True,True,
case_0154,answerable_clear,1,1,True,True,
case_0157,answerable_multihop,2,2,True,True,
case_0158,answerable_multihop,2,2,True,True,
case_0159,answerable_clear,1,1,True,True,
case_0160,answerable_clear,1,1,True,True,
case_0161,answerable_clear,1,1,True,True,
case_0163,answerable_multihop,3,1,False,True,asic_rg271-p0020-c002-86e3cf74ff52|asic_rg271-p0021-c002-f2a3afc18de5
case_0167,answerable_multihop,3,1,False,True,asic_rg271-p0021-c001-eedd18e219b1|asic_rg271-p0029-c001-951a4fdedd90
case_0169,answerable_clear,1,1,True,True,
case_0171,answerable_clear,1,1,True,True,
case_0173,answerable_clear,1,1,True,True,
case_0174,answerable_clear,1,1,True,True,
case_0175,answerable_clear,1,0,False,False,asic_rg271-p0023-c002-ff9992fc02f9
case_0177,answerable_clear,1,1,True,True,
case_0180,answerable_multihop,4,1,False,True,asic_rg271-p0046-c002-e0c5a767477d|asic_rg271-p0047-c001-f59e937ccb4c|fwo_dispute_resolution-p0005-c001-96e1de939bfe
case_0181,answerable_multihop,2,1,False,True,asic_rg271-p0001-c001-27fa42cfe818
case_0182,answerable_clear,1,1,True,True,
case_0183,answerable_clear,1,1,True,True,
case_0184,answerable_multihop,2,2,True,True,
case_0185,answerable_clear,1,1,True,True,
case_0186,answerable_multihop,3,1,False,True,asic_rg271-p0039-c001-6965df983e7f|fwo_dispute_resolution-p0010-c002-4f814531e440
case_0187,answerable_clear,1,1,True,True,
case_0192,answerable_multihop,3,1,False,True,asic_rg271-p0038-c001-92aac2e26dd4|asic_rg271-p0038-c002-6ac5a8d18495
case_0194,answerable_multihop,3,0,False,False,asic_rg271-p0046-c001-5d4b11b8f461|asic_rg271-p0047-c001-f59e937ccb4c|asic_rg271-p0048-c001-74db5a89f04a
case_0195,answerable_multihop,3,2,False,True,fwo_dispute_resolution-p0009-c002-3d485db7e021
case_0196,answerable_clear,1,1,True,True,
case_0198,answerable_clear,1,0,False,False,asic_rg271-p0012-c001-c13258ebad5f
case_0201,answerable_clear,1,1,True,True,
case_0204,answerable_multihop,3,0,False,False,asic_rg271-p0019-c001-fe57db53dd3b|fwo_dispute_resolution-p0008-c002-dec9ca7c9c5d|fwo_dispute_resolution-p0009-c001-20723c6f1697
case_0209,answerable_clear,1,0,False,False,asic_rg271-p0004-c001-fde204a5871a
case_0216,answerable_multihop,2,2,True,True,
case_0217,answerable_clear,1,1,True,True,
case_0218,answerable_clear,1,1,True,True,
case_0219,answerable_clear,1,0,False,False,asic_rg271-p0013-c001-a53d7d32bf80
case_0222,answerable_clear,1,1,True,True,
case_0223,answerable_clear,1,1,True,True,
case_0224,answerable_multihop,2,2,True,True,
case_0225,answerable_clear,1,1,True,True,
case_0226,answerable_multihop,3,0,False,False,asic_rg271-p0021-c001-eedd18e219b1|fwo_dispute_resolution-p0004-c001-b24117433e9a|fwo_dispute_resolution-p0008-c002-dec9ca7c9c5d
case_0227,answerable_clear,1,1,True,True,
case_0229,answerable_clear,1,1,True,True,
case_0231,answerable_multihop,2,2,True,True,
case_0232,answerable_multihop,2,2,True,True,
case_0233,answerable_clear,1,1,True,True,
case_0234,answerable_clear,1,1,True,True,
case_0237,answerable_clear,1,1,True,True,
case_0239,answerable_multihop,3,0,False,False,asic_rg271-p0015-c001-29fdc2ba5f4c|fwo_dispute_resolution-p0003-c002-ea94c2b65bc3|fwo_dispute_resolution-p0004-c001-b24117433e9a
case_0240,answerable_clear,1,0,False,False,asic_rg271-p0020-c002-86e3cf74ff52
case_0241,answerable_multihop,2,0,False,False,asic_rg271-p0010-c002-8727b7af0378|fwo_dispute_resolution-p0003-c001-1a4a5fb3c291
case_0242,answerable_clear,1,1,True,True,
case_0244,answerable_clear,1,1,True,True,
case_0245,answerable_clear,1,1,True,True,
case_0246,answerable_clear,1,0,False,False,asic_rg271-p0020-c002-86e3cf74ff52
case_0247,answerable_clear,1,1,True,True,
case_0248,answerable_clear,1,1,True,True,
case_0250,answerable_clear,1,1,True,True,
case_0252,answerable_clear,1,1,True,True,
case_0253,answerable_clear,1,0,False,False,asic_rg271-p0018-c002-ffd83db466b2
case_0256,answerable_clear,1,1,True,True,
case_0257,answerable_multihop,2,1,False,True,fwo_dispute_resolution-p0004-c001-b24117433e9a
case_0259,answerable_multihop,4,2,False,True,asic_rg271-p0042-c001-93262950c49e|asic_rg271-p0047-c001-f59e937ccb4c
case_0264,answerable_multihop,2,2,True,True,
case_0269,answerable_clear,1,1,True,True,
case_0272,answerable_clear,1,1,True,True,
case_0274,answerable_clear,1,1,True,True,
case_0275,answerable_clear,1,1,True,True,
case_0276,answerable_multihop,2,2,True,True,
case_0277,answerable_clear,1,1,True,True,
case_0278,answerable_clear,1,1,True,True,
case_0279,answerable_clear,1,1,True,True,
case_0281,answerable_multihop,2,2,True,True,
case_0282,answerable_clear,1,1,True,True,
case_0284,answerable_multihop,2,2,True,True,
case_0286,answerable_multihop,3,3,True,True,
case_0290,answerable_clear,1,1,True,True,
case_0295,answerable_clear,1,1,True,True,
case_0299,answerable_clear,1,1,True,True,
case_0300,answerable_clear,1,1,True,True,
