case_id,model_tier,model_version,strategy,prompt_version,seed,output_type,answer_text,citations,confidence,correct,citation_valid,input_tokens,fresh_input_tokens,cached_input_tokens,output_tokens,cost_usd,latency_ms,timestamp,raw_response_path,run_id,prompt_sha256,dataset_sha256,corpus_manifest_sha256,retrieved_passage_ids,attempt_count,raw_response_paths,requested_models,actual_models_used,system_fingerprints,finish_reasons,error_state,scoring_status,scoring_note,budget_guard_cost_usd,price_table_version,price_table_sha256
case_0228,capable,gpt-5.4-2026-03-05,self_check,base-v1.0.0+critic-v1.0.0,20260831,ABSTAIN,,[],0.98,true,,7386,7386,0,60,0.019365000000,4097,2026-09-01T00:37:16.001Z,results/raw/remaining_v1_v1__capable__self_check__1b1581710af2__af282e540fce/case_0228/call-02-attempt-01.json,remaining_v1_v1__capable__self_check__1b1581710af2__af282e540fce,af282e540fce4e9e9e354ee5fddfd367ffbe050c134287a35f29653f7d8a5adc,1b1581710af22995c47da1aae2c481b23a293be168a20d5e5765a03d4b4e5cc0,a21a88481f955ea9cfc84c014e0af771b4f5ceca19b1cf470cfc35a19c747920,"[""asic_rg271-p0035-c001-c3bc1825ac83"", ""asic_rg271-p0043-c001-530991c66702"", ""asic_rg271-p0022-c002-f82589af8eb4"", ""asic_rg271-p0039-c001-6965df983e7f"", ""asic_rg271-p0030-c002-952ebc764c25"", ""asic_rg271-p0024-c001-b4bba4141d6f"", ""fwo_dispute_resolution-p0013-c001-d096fff26b96"", ""asic_rg271-p0030-c001-01c8b4e666b6""]",2,"[""results/raw/remaining_v1_v1__capable__self_check__1b1581710af2__af282e540fce/case_0228/call-01-attempt-01.json"", ""results/raw/remaining_v1_v1__capable__self_check__1b1581710af2__af282e540fce/case_0228/call-02-attempt-01.json""]","[""gpt-5.4-2026-03-05"", ""gpt-5.4-2026-03-05""]","[""gpt-5.4-2026-03-05"", ""gpt-5.4-2026-03-05""]",[],"[""stop"", ""stop""]",,deterministic,deterministic label,0.054655000000,openai-standard-2026-08-31,217b709f860486e367878551c3e5034b05d84ed7ee4ed18267746dcc30f4aa9b
case_0229,capable,gpt-5.4-2026-03-05,self_check,base-v1.0.0+critic-v1.0.0,20260831,ANSWER,"A fintech relying on the enhanced regulatory sandbox (ERS) exemption must have a dispute resolution system consisting of: (1) an IDR procedure that complies with ASIC’s standards and requirements set out in RG 271, and (2) membership of AFCA.","[""asic_rg271-p0008-c002-8f54c97d110a""]",0.99,,,7558,7558,0,207,0.022000000000,6339,2026-09-01T00:37:22.342Z,results/raw/remaining_v1_v1__capable__self_check__1b1581710af2__af282e540fce/case_0229/call-02-attempt-01.json,remaining_v1_v1__capable__self_check__1b1581710af2__af282e540fce,af282e540fce4e9e9e354ee5fddfd367ffbe050c134287a35f29653f7d8a5adc,1b1581710af22995c47da1aae2c481b23a293be168a20d5e5765a03d4b4e5cc0,a21a88481f955ea9cfc84c014e0af771b4f5ceca19b1cf470cfc35a19c747920,"[""asic_rg271-p0008-c002-8f54c97d110a"", ""asic_rg271-p0051-c002-82fabd4bb37b"", ""asic_rg271-p0056-c001-b73af1fa4bc6"", ""asic_rg271-p0051-c001-28781e95d91e"", ""asic_rg271-p0052-c001-1646aff2d006"", ""asic_rg271-p0055-c001-19150792e10e"", ""asic_rg271-p0030-c002-952ebc764c25"", ""asic_rg271-p0008-c001-4a2206d2b3a8""]",2,"[""results/raw/remaining_v1_v1__capable__self_check__1b1581710af2__af282e540fce/case_0229/call-01-attempt-01.json"", ""results/raw/remaining_v1_v1__capable__self_check__1b1581710af2__af282e540fce/case_0229/call-02-attempt-01.json""]","[""gpt-5.4-2026-03-05"", ""gpt-5.4-2026-03-05""]","[""gpt-5.4-2026-03-05"", ""gpt-5.4-2026-03-05""]",[],"[""stop"", ""stop""]",,pending_manual_adjudication,manual answer and citation adjudication required,0.055085000000,openai-standard-2026-08-31,217b709f860486e367878551c3e5034b05d84ed7ee4ed18267746dcc30f4aa9b
case_0230,capable,gpt-5.4-2026-03-05,self_check,base-v1.0.0+critic-v1.0.0,20260831,ABSTAIN,,[],0.08,true,,7694,7694,0,60,0.020135000000,2552,2026-09-01T00:37:24.896Z,results/raw/remaining_v1_v1__capable__self_check__1b1581710af2__af282e540fce/case_0230/call-02-attempt-01.json,remaining_v1_v1__capable__self_check__1b1581710af2__af282e540fce,af282e540fce4e9e9e354ee5fddfd367ffbe050c134287a35f29653f7d8a5adc,1b1581710af22995c47da1aae2c481b23a293be168a20d5e5765a03d4b4e5cc0,a21a88481f955ea9cfc84c014e0af771b4f5ceca19b1cf470cfc35a19c747920,"[""asic_rg271-p0023-c001-94f83792660d"", ""asic_rg271-p0043-c001-530991c66702"", ""asic_rg271-p0030-c001-01c8b4e666b6"", ""asic_rg271-p0022-c001-c82f21d3ee0b"", ""asic_rg271-p0006-c002-6520ea5bf079"", ""asic_rg271-p0032-c001-61d82cea4a65"", ""fwo_nes-p0001-c001-309168a0031e"", ""asic_rg271-p0014-c001-2450831dba3b""]",2,"[""results/raw/remaining_v1_v1__capable__self_check__1b1581710af2__af282e540fce/case_0230/call-01-attempt-01.json"", ""results/raw/remaining_v1_v1__capable__self_check__1b1581710af2__af282e540fce/case_0230/call-02-attempt-01.json""]","[""gpt-5.4-2026-03-05"", ""gpt-5.4-2026-03-05""]","[""gpt-5.4-2026-03-05"", ""gpt-5.4-2026-03-05""]",[],"[""stop"", ""stop""]",,deterministic,deterministic label,0.055425000000,openai-standard-2026-08-31,217b709f860486e367878551c3e5034b05d84ed7ee4ed18267746dcc30f4aa9b
case_0231,capable,gpt-5.4-2026-03-05,self_check,base-v1.0.0+critic-v1.0.0,20260831,ANSWER,"The Fair Work Ombudsman says that if a dispute is about pay or entitlements, it may offer a no-cost dispute assistance service. In that service, FWO officers help both parties understand the law, communicate, and make informed choices, including by identifying the issues in dispute, providing advice and information about workplace rights and obligations, facilitating discussions and exploring ways to resolve the dispute, explaining proposed resolutions and alternatives, and providing information about other options if the dispute is not resolved. By contrast, mediation is described as generally voluntary, requiring both parties to agree unless a dispute resolution procedure requires it, and mediators do not take sides, give advice, or decide who is right or wrong; instead, they help the parties work through the issues and reach a solution everyone can accept.","[""fwo_dispute_resolution-p0010-c001-fcbb30ef4ad7"", ""fwo_dispute_resolution-p0010-c002-4f814531e440""]",0.98,,,6416,6416,0,407,0.022145000000,5378,2026-09-01T00:37:30.277Z,results/raw/remaining_v1_v1__capable__self_check__1b1581710af2__af282e540fce/case_0231/call-02-attempt-01.json,remaining_v1_v1__capable__self_check__1b1581710af2__af282e540fce,af282e540fce4e9e9e354ee5fddfd367ffbe050c134287a35f29653f7d8a5adc,1b1581710af22995c47da1aae2c481b23a293be168a20d5e5765a03d4b4e5cc0,a21a88481f955ea9cfc84c014e0af771b4f5ceca19b1cf470cfc35a19c747920,"[""fwo_dispute_resolution-p0010-c001-fcbb30ef4ad7"", ""fwo_dispute_resolution-p0010-c002-4f814531e440"", ""fwo_dispute_resolution-p0011-c001-229dc07ce14d"", ""fwo_dispute_resolution-p0013-c002-4c207fab1c1c"", ""fwo_nes-p0002-c002-9e4b76a8c585"", ""asic_rg271-p0002-c001-80ab0a2750b9"", ""fwo_dispute_resolution-p0013-c001-d096fff26b96"", ""asic_rg271-p0022-c001-c82f21d3ee0b""]",2,"[""results/raw/remaining_v1_v1__capable__self_check__1b1581710af2__af282e540fce/case_0231/call-01-attempt-01.json"", ""results/raw/remaining_v1_v1__capable__self_check__1b1581710af2__af282e540fce/case_0231/call-02-attempt-01.json""]","[""gpt-5.4-2026-03-05"", ""gpt-5.4-2026-03-05""]","[""gpt-5.4-2026-03-05"", ""gpt-5.4-2026-03-05""]",[],"[""stop"", ""stop""]",,pending_manual_adjudication,manual answer and citation adjudication required,0.052230000000,openai-standard-2026-08-31,217b709f860486e367878551c3e5034b05d84ed7ee4ed18267746dcc30f4aa9b
case_0232,capable,gpt-5.4-2026-03-05,self_check,base-v1.0.0+critic-v1.0.0,20260831,ANSWER,"For complaints about hardship notices or requests to postpone enforcement proceedings:

- If information is missing: the credit provider or lessor must request the missing information within 21 calendar days after receiving the complaint. The complainant then has 21 calendar days to provide it. Once the requested information is received, the credit provider or lessor has a further 21 calendar days to provide an IDR response. If the requested information is not received within 21 calendar days of the request, the credit provider or lessor has 7 calendar days to provide an IDR response. [asic_rg271-p0022-c001-c82f21d3ee0b]
- If agreement is reached: the credit provider or lessor has a further 30 calendar days to confirm in writing the terms of the change to the credit contract or lease, or the conditions of postponement of enforcement proceedings. [asic_rg271-p0022-c001-c82f21d3ee0b, asic_rg271-p0030-c002-952ebc764c25]","[""asic_rg271-p0022-c001-c82f21d3ee0b"", ""asic_rg271-p0030-c002-952ebc764c25""]",0.98,,,7064,7064,0,531,0.025625000000,10447,2026-09-01T00:37:40.725Z,results/raw/remaining_v1_v1__capable__self_check__1b1581710af2__af282e540fce/case_0232/call-02-attempt-01.json,remaining_v1_v1__capable__self_check__1b1581710af2__af282e540fce,af282e540fce4e9e9e354ee5fddfd367ffbe050c134287a35f29653f7d8a5adc,1b1581710af22995c47da1aae2c481b23a293be168a20d5e5765a03d4b4e5cc0,a21a88481f955ea9cfc84c014e0af771b4f5ceca19b1cf470cfc35a19c747920,"[""asic_rg271-p0022-c002-f82589af8eb4"", ""asic_rg271-p0030-c001-01c8b4e666b6"", ""asic_rg271-p0030-c002-952ebc764c25"", ""asic_rg271-p0022-c001-c82f21d3ee0b"", ""asic_rg271-p0031-c001-6da530809372"", ""fwo_dispute_resolution-p0007-c001-d4d8c6bac927"", ""asic_rg271-p0014-c002-c83027a54f40"", ""fwo_nes-p0001-c002-e38bf8c54211""]",2,"[""results/raw/remaining_v1_v1__capable__self_check__1b1581710af2__af282e540fce/case_0232/call-01-attempt-01.json"", ""results/raw/remaining_v1_v1__capable__self_check__1b1581710af2__af282e540fce/case_0232/call-02-attempt-01.json""]","[""gpt-5.4-2026-03-05"", ""gpt-5.4-2026-03-05""]","[""gpt-5.4-2026-03-05"", ""gpt-5.4-2026-03-05""]",[],"[""stop"", ""stop""]",,pending_manual_adjudication,manual answer and citation adjudication required,0.053850000000,openai-standard-2026-08-31,217b709f860486e367878551c3e5034b05d84ed7ee4ed18267746dcc30f4aa9b
case_0233,capable,gpt-5.4-2026-03-05,self_check,base-v1.0.0+critic-v1.0.0,20260831,ANSWER,An RG 271 IDR delay notification must inform the complainant about: (a) the reasons for the delay; (b) their right to complain to AFCA if they are dissatisfied; and (c) the contact details for AFCA.,"[""asic_rg271-p0023-c001-94f83792660d"", ""asic_rg271-p0033-c001-79a60fdf3fe9""]",0.99,,,7433,7433,0,224,0.021942500000,2866,2026-09-01T00:37:43.593Z,results/raw/remaining_v1_v1__capable__self_check__1b1581710af2__af282e540fce/case_0233/call-02-attempt-01.json,remaining_v1_v1__capable__self_check__1b1581710af2__af282e540fce,af282e540fce4e9e9e354ee5fddfd367ffbe050c134287a35f29653f7d8a5adc,1b1581710af22995c47da1aae2c481b23a293be168a20d5e5765a03d4b4e5cc0,a21a88481f955ea9cfc84c014e0af771b4f5ceca19b1cf470cfc35a19c747920,"[""asic_rg271-p0023-c002-ff9992fc02f9"", ""asic_rg271-p0023-c001-94f83792660d"", ""asic_rg271-p0024-c001-b4bba4141d6f"", ""asic_rg271-p0003-c001-cdd11f23d51f"", ""asic_rg271-p0033-c001-79a60fdf3fe9"", ""asic_rg271-p0026-c001-cc581125fdf3"", ""asic_rg271-p0020-c001-065c65220d78"", ""asic_rg271-p0042-c001-93262950c49e""]",2,"[""results/raw/remaining_v1_v1__capable__self_check__1b1581710af2__af282e540fce/case_0233/call-01-attempt-01.json"", ""results/raw/remaining_v1_v1__capable__self_check__1b1581710af2__af282e540fce/case_0233/call-02-attempt-01.json""]","[""gpt-5.4-2026-03-05"", ""gpt-5.4-2026-03-05""]","[""gpt-5.4-2026-03-05"", ""gpt-5.4-2026-03-05""]",[],"[""stop"", ""stop""]",,pending_manual_adjudication,manual answer and citation adjudication required,0.054772500000,openai-standard-2026-08-31,217b709f860486e367878551c3e5034b05d84ed7ee4ed18267746dcc30f4aa9b
case_0234,capable,gpt-5.4-2026-03-05,self_check,base-v1.0.0+critic-v1.0.0,20260831,ANSWER,"When a death-benefit decision-maker issues a further proposed decision, the maximum 90 calendar day IDR timeframe applies again from the end of that new 28 calendar day objection period, and this continues for each new proposed decision until the decision-maker makes the decision.","[""asic_rg271-p0027-c002-6893af7f5030""]",0.99,,,7293,7293,0,214,0.021442500000,3100,2026-09-01T00:37:46.694Z,results/raw/remaining_v1_v1__capable__self_check__1b1581710af2__af282e540fce/case_0234/call-02-attempt-01.json,remaining_v1_v1__capable__self_check__1b1581710af2__af282e540fce,af282e540fce4e9e9e354ee5fddfd367ffbe050c134287a35f29653f7d8a5adc,1b1581710af22995c47da1aae2c481b23a293be168a20d5e5765a03d4b4e5cc0,a21a88481f955ea9cfc84c014e0af771b4f5ceca19b1cf470cfc35a19c747920,"[""asic_rg271-p0027-c001-f6727674ec3d"", ""asic_rg271-p0027-c002-6893af7f5030"", ""asic_rg271-p0023-c001-94f83792660d"", ""asic_rg271-p0022-c002-f82589af8eb4"", ""asic_rg271-p0020-c001-065c65220d78"", ""asic_rg271-p0028-c001-c4d0879b3776"", ""asic_rg271-p0023-c002-ff9992fc02f9"", ""asic_rg271-p0024-c001-b4bba4141d6f""]",2,"[""results/raw/remaining_v1_v1__capable__self_check__1b1581710af2__af282e540fce/case_0234/call-01-attempt-01.json"", ""results/raw/remaining_v1_v1__capable__self_check__1b1581710af2__af282e540fce/case_0234/call-02-attempt-01.json""]","[""gpt-5.4-2026-03-05"", ""gpt-5.4-2026-03-05""]","[""gpt-5.4-2026-03-05"", ""gpt-5.4-2026-03-05""]",[],"[""stop"", ""stop""]",,pending_manual_adjudication,manual answer and citation adjudication required,0.054422500000,openai-standard-2026-08-31,217b709f860486e367878551c3e5034b05d84ed7ee4ed18267746dcc30f4aa9b
case_0235,capable,gpt-5.4-2026-03-05,self_check,base-v1.0.0+critic-v1.0.0,20260831,ABSTAIN,,[],0.99,true,,7264,7264,0,60,0.019060000000,6950,2026-09-01T00:37:53.646Z,results/raw/remaining_v1_v1__capable__self_check__1b1581710af2__af282e540fce/case_0235/call-02-attempt-01.json,remaining_v1_v1__capable__self_check__1b1581710af2__af282e540fce,af282e540fce4e9e9e354ee5fddfd367ffbe050c134287a35f29653f7d8a5adc,1b1581710af22995c47da1aae2c481b23a293be168a20d5e5765a03d4b4e5cc0,a21a88481f955ea9cfc84c014e0af771b4f5ceca19b1cf470cfc35a19c747920,"[""asic_rg271-p0032-c002-4ef82650a6b8"", ""asic_rg271-p0023-c002-ff9992fc02f9"", ""asic_rg271-p0032-c001-61d82cea4a65"", ""asic_rg271-p0049-c001-daddc825fd02"", ""asic_rg271-p0024-c001-b4bba4141d6f"", ""asic_rg271-p0012-c001-c13258ebad5f"", ""asic_rg271-p0039-c001-6965df983e7f"", ""asic_rg271-p0023-c001-94f83792660d""]",2,"[""results/raw/remaining_v1_v1__capable__self_check__1b1581710af2__af282e540fce/case_0235/call-01-attempt-01.json"", ""results/raw/remaining_v1_v1__capable__self_check__1b1581710af2__af282e540fce/case_0235/call-02-attempt-01.json""]","[""gpt-5.4-2026-03-05"", ""gpt-5.4-2026-03-05""]","[""gpt-5.4-2026-03-05"", ""gpt-5.4-2026-03-05""]",[],"[""stop"", ""stop""]",,deterministic,deterministic label,0.054350000000,openai-standard-2026-08-31,217b709f860486e367878551c3e5034b05d84ed7ee4ed18267746dcc30f4aa9b
case_0236,capable,gpt-5.4-2026-03-05,self_check,base-v1.0.0+critic-v1.0.0,20260831,ABSTAIN,,[],0.02,true,,6018,6018,0,60,0.015945000000,2393,2026-09-01T00:37:56.040Z,results/raw/remaining_v1_v1__capable__self_check__1b1581710af2__af282e540fce/case_0236/call-02-attempt-01.json,remaining_v1_v1__capable__self_check__1b1581710af2__af282e540fce,af282e540fce4e9e9e354ee5fddfd367ffbe050c134287a35f29653f7d8a5adc,1b1581710af22995c47da1aae2c481b23a293be168a20d5e5765a03d4b4e5cc0,a21a88481f955ea9cfc84c014e0af771b4f5ceca19b1cf470cfc35a19c747920,"[""fwo_dispute_resolution-p0005-c002-17ee7a26f511"", ""fwo_dispute_resolution-p0005-c001-96e1de939bfe"", ""fwo_dispute_resolution-p0011-c001-229dc07ce14d"", ""fwo_dispute_resolution-p0007-c001-d4d8c6bac927"", ""fwo_dispute_resolution-p0010-c001-fcbb30ef4ad7"", ""fwo_nes-p0001-c002-e38bf8c54211"", ""fwo_dispute_resolution-p0007-c002-c040c04c278e"", ""fwo_dispute_resolution-p0008-c002-dec9ca7c9c5d""]",2,"[""results/raw/remaining_v1_v1__capable__self_check__1b1581710af2__af282e540fce/case_0236/call-01-attempt-01.json"", ""results/raw/remaining_v1_v1__capable__self_check__1b1581710af2__af282e540fce/case_0236/call-02-attempt-01.json""]","[""gpt-5.4-2026-03-05"", ""gpt-5.4-2026-03-05""]","[""gpt-5.4-2026-03-05"", ""gpt-5.4-2026-03-05""]",[],"[""stop"", ""stop""]",,deterministic,deterministic label,0.051235000000,openai-standard-2026-08-31,217b709f860486e367878551c3e5034b05d84ed7ee4ed18267746dcc30f4aa9b
case_0237,capable,gpt-5.4-2026-03-05,self_check,base-v1.0.0+critic-v1.0.0,20260831,ANSWER,"A traditional trustee’s information return must include: the income earned on the trust’s assets; the expenses of the trust, including remuneration, commission or other benefits received by the trustee company; and the net value of the trust’s assets.","[""asic_rg271-p0053-c001-0efa030624cd"", ""asic_rg271-p0017-c001-05cc26714675""]",0.99,,,7102,7102,0,211,0.020920000000,2953,2026-09-01T00:37:58.996Z,results/raw/remaining_v1_v1__capable__self_check__1b1581710af2__af282e540fce/case_0237/call-02-attempt-01.json,remaining_v1_v1__capable__self_check__1b1581710af2__af282e540fce,af282e540fce4e9e9e354ee5fddfd367ffbe050c134287a35f29653f7d8a5adc,1b1581710af22995c47da1aae2c481b23a293be168a20d5e5765a03d4b4e5cc0,a21a88481f955ea9cfc84c014e0af771b4f5ceca19b1cf470cfc35a19c747920,"[""asic_rg271-p0016-c002-95dd91435eb9"", ""asic_rg271-p0053-c001-0efa030624cd"", ""asic_rg271-p0026-c001-cc581125fdf3"", ""asic_rg271-p0017-c001-05cc26714675"", ""asic_rg271-p0016-c001-1d36cbf1ff44"", ""asic_rg271-p0021-c002-f2a3afc18de5"", ""asic_rg271-p0044-c001-332ffec942d6"", ""asic_rg271-p0055-c001-19150792e10e""]",2,"[""results/raw/remaining_v1_v1__capable__self_check__1b1581710af2__af282e540fce/case_0237/call-01-attempt-01.json"", ""results/raw/remaining_v1_v1__capable__self_check__1b1581710af2__af282e540fce/case_0237/call-02-attempt-01.json""]","[""gpt-5.4-2026-03-05"", ""gpt-5.4-2026-03-05""]","[""gpt-5.4-2026-03-05"", ""gpt-5.4-2026-03-05""]",[],"[""stop"", ""stop""]",,pending_manual_adjudication,manual answer and citation adjudication required,0.053945000000,openai-standard-2026-08-31,217b709f860486e367878551c3e5034b05d84ed7ee4ed18267746dcc30f4aa9b
